rank,hotspot address,packet count,name,owner,lat,lng,location,reward scale,city,country
39,112wjbCfJfoQq7PzNdKwxwSU5biXtCwCvpGAj7BG7j7syvzvCmiH,104273,muscular-infrared-dinosaur,13buV4JstjoQGWNu2M5S2zP1jfHFfKc9BcPq4dAy7LzVtU1Fdew,35.37032666145126,24.46943633955288,8c3f72a882805ff,1.0,Rethymno,Greece
40,11sJgnyapBbx9qPDKTqp8CpLevyLNUkQL2YLkpNTUu4S1xFmusB,101187,mysterious-chrome-loris,14MR3ze853qbKbx4RegQmgCuk73NHExb6SgCahyivayTRqivxAX,44.63515182380267,10.953959314782404,8c1ea6230b2d5ff,0.9615325927734375,Modena,Italy
41,11rf32q66vjGQcTGT8LsZAgRAxPo1gMhVVf3CpQyNMx7FD6iQG9,100345,curly-arctic-bobcat,14Gy7fdQNmHvCF4BioPoohDmk1rPcysd5oHQXXFL7kjGuSgPiyB,39.01119904990095,-77.10427463199721,8c2aa8419d1cbff,0.5860748291015625,Bethesda,United States
42,1129B8291VaQe3edLLyVzqc3tQjb7bih5Suv1sWkc9wBp6MrwW29,100032,cold-bamboo-pangolin,13Pyq15pSQDwBpXixTKieHY6RujNudYRP5a2tf6eEjneWnPLqmw,24.873800710278317,121.01433997711091,8c4ba08d030c5ff,0.6666717529296875,Hukou Township,Taiwan
43,11LvxLJxCySuXUyK9qNT5R8HPMfJWC7RyabeJnnK8EReNan1gjr,97218,pet-mauve-mockingbird,131hzZABRwL1YLfVzy6hKSzJMg6Lp7FpXrekYAcFH2RrabT9Maq,50.58000174359876,8.748071798214182,8c1fac4408f2dff,1.0,Fernwald,Germany
44,11mTXZynYKak1eEaAFpr7VZ6Rmgpqa2fsEAxGgXf1QnbBsVnVca,96917,precise-wooden-peacock,13g9XtVkKrbnJzKTqwCmuSedPHdtN1KjeVE8AoD7yQZvfJCeGab,25.040017370648346,-77.31690985353964,8c44b56abdac7ff,1.0,Nassau,The Bahamas
45,118u5VYe2TuLqS6tUbSSZeEyWBrDhQGw13NwKYpQPpqTByQhWr5,96538,cold-jetblack-terrier,14MyA5xYUaNzUpBipNHq9z5DSG2GsBGHFqunrmpoeG2JunmpBqn,48.80462143988944,2.352669434225597,8c1fb465511b7ff,0.244049072265625,Le Kremlin-Bicêtre,France
46,11Ew4D6RKkWDsfamctK3YqgkeEPNjJTkwDeR8tPVWE9BpXCTP1X,95511,sweet-banana-butterfly,13gp8WXmcqbshN1hKnnWnr6NJnCGmCG9HZcAVZbQXFboroeYrXE,44.791904650727325,20.495562868802313,8c1e1b2d2d643ff,0.308929443359375,Beograd,Serbia
47,112AK38XsVT2rwnBToD1AZpReS6k9rSveXYHfaJBHktrBsaSmfr1,94784,boxy-fleece-piranha,14X8sM6A5KZHSGv8mTbCFurhZniVZNKJvFkPU463kbjK17PzL12,37.96400858802577,23.749023564395532,8c1eda74ada19ff,0.6687469482421875,Athina,Greece
48,112tADptY2GzCTEVFZiKGkCtMjGgXb7eRdvAFX81SHU77VGMFSBp,94483,bright-shadow-crow,13v4RxHb4Us9oPs7bo2zd4hULb1aUpwoPNqh5jgby4RQSVF1dK6,44.80701388122537,20.45098440193982,8c1e1b28bc4cdff,0.1772308349609375,Beograd,Serbia
49,112Pugw8jaTTc4ExN9coaphTK2po3B59HMcsBVnHnnnxU9ediQUm,94455,brilliant-champagne-gibbon,14rTrLsQ38gPJEt8Fb4kxAfD1mnLo8QUMv6KYquALHJJw9Q3myU,44.82990733026154,20.413208251518796,8c1e1b28eba39ff,0.417755126953125,Beograd,Serbia
50,11XkE74ga71SRQeNEGpc7Bz71UfX94osG173Qp1npiRcptHueb,94218,,,0,0,,0,fail,fail
51,112EjrJ1MVuYzherHUSxfbE5nHkE7NJBvqGFv27oAvtWM4r9wSBF,94137,zesty-bamboo-viper,14iukpHXca8j3DTUKzPxwqsDHHYXQMW2NNWiMXihghEVXweBn4A,25.033413849488753,-77.3070148125731,8c44b56aa022dff,1.0,Nassau,The Bahamas
52,11NAWWXXuUk5hnbUgB4jy2QzWRh58SQV7GCcyVWGJnPQujaPbPW,92363,howling-fiery-peacock,148zLFS2WmHWmhZJK3GkPKfP9iRV6XCX2jUzgZEhUS5d6FkgyZf,25.029625858430446,-77.304612924176,8c44b56aac53bff,1.0,Nassau,The Bahamas
